"","Clinical_parameter","Factor","Estimate","StdError","tStat","pvalue","padjust"
"1","Factor1","sample_material",-0.0541265491009697,0.292764197436142,-0.184881039331238,0.85368240071338,0.85368240071338
"2","Factor2","sample_material",0.0759246114645047,0.284218837832674,0.267134339312172,0.78989473350403,0.78989473350403
"3","Factor3","sample_material",0.325718660372922,0.248453764309443,1.31098299628597,0.192750873019415,0.192750873019415
"4","Factor4","sample_material",0.68266957692995,0.180308835537492,3.78611272650587,0.000256314295739484,0.000256314295739484
"5","Factor5","sample_material",-0.475788053726077,0.216051785637728,-2.20219449851653,0.0298599461483477,0.0298599461483477
"6","Factor6","sample_material",-0.14685975807434,0.0631159017609446,-2.32682658374399,0.0219127803028528,0.0219127803028528
"7","Factor7","sample_material",0.333360023060587,0.226361159152928,1.47269091706396,0.143854405755021,0.143854405755021
"8","Factor8","sample_material",-0.00891258009205652,0.158064409300407,-0.0563857488950458,0.955142696511742,0.955142696511742
"9","Factor9","sample_material",-0.144925971407946,0.203739522452661,-0.711329690299141,0.47847238508545,0.47847238508545
"10","Factor10","sample_material",-0.297060706771745,0.179683709008199,-1.65324229119842,0.101297209130002,0.101297209130002
"11","Factor11","sample_material",0.147461597351454,0.173187134566011,0.851458150866563,0.396471216450954,0.396471216450954
"12","Factor1","sex",-0.409906128947584,0.25185457833368,-1.62755083373749,0.106333428323218,0.106333428323218
"13","Factor2","sex",0.110413815742819,0.238560755693046,0.462833106904169,0.644351081731174,0.644351081731174
"14","Factor3","sex",0.133710505149016,0.215558216641005,0.62029880944738,0.536277804535163,0.536277804535163
"15","Factor4","sex",-0.139354238388316,0.163870875655649,-0.850390515280755,0.396859883644007,0.396859883644007
"16","Factor5","sex",-0.123012430717448,0.195480483638035,-0.629282414428776,0.530401553581981,0.530401553581981
"17","Factor6","sex",0.247783359134029,0.239194092317822,1.03590919296115,0.302399194216582,0.302399194216582
"18","Factor7","sex",-0.269765255954942,0.191169751845462,-1.4111293933834,0.160882874509729,0.160882874509729
"19","Factor8","sex",-0.21984814556175,0.134937034493634,-1.62926468916969,0.105969730042979,0.105969730042979
"20","Factor9","sex",-0.172632287969036,0.174026108203604,-0.991990740648311,0.323266781699318,0.323266781699318
"21","Factor10","sex",-0.089525062105682,0.153428567426086,-0.58349669561251,0.560691780790272,0.560691780790272
"22","Factor11","sex",-0.0982291392945034,0.155747692572575,-0.630694026164983,0.52948122644291,0.52948122644291
"23","Factor1","age",0.0162865777684678,0.00841708723671642,1.93494225620279,0.055431972976722,0.055431972976722
"24","Factor2","age",-0.00439753871846277,0.00800649825376486,-0.549246197161779,0.583892282093866,0.583892282093866
"25","Factor3","age",-0.0201775276749588,0.00700294716618597,-2.88129086170846,0.00471943127229449,0.00471943127229449
"26","Factor4","age",-0.00920176375026058,0.0054524423901162,-1.68764071069157,0.0941673009598967,0.0941673009598967
"27","Factor5","age",-0.00386893411169053,0.00656449198388771,-0.589372966131527,0.556757232092457,0.556757232092457
"28","Factor6","age",0.00840427052990739,0.00803001011446705,1.04660771407574,0.297456472843185,0.297456472843185
"29","Factor7","age",-0.00819202566973752,0.00642840460644408,-1.27434817365502,0.205087067112301,0.205087067112301
"30","Factor8","age",-0.0105822116617463,0.00447537486604527,-2.36454196095029,0.0197133386411786,0.0197133386411786
"31","Factor9","age",0.0138625914085819,0.00572462380317144,2.42157247099836,0.0170026048084565,0.0170026048084565
"32","Factor10","age",0.000468984457529884,0.005158627059825,0.0909126502247663,0.927718800002956,0.927718800002956
"33","Factor11","age",0.000575947332478386,0.00523780464989545,0.109959681770469,0.912631358510889,0.912631358510889
"34","Factor1","blast_bm_percentage",0.00592664439711776,0.00572470285480997,1.03527546274967,0.30369898805335,0.30369898805335
"35","Factor2","blast_bm_percentage",-0.0173247507001983,0.00563623486724288,-3.07381631679114,0.0029006585295315,0.0029006585295315
"36","Factor3","blast_bm_percentage",-0.00906341449576137,0.00560848396979512,-1.61601861475811,0.11007707769342,0.11007707769342
"37","Factor4","blast_bm_percentage",0.0138247022817401,0.00389441954728264,3.54987492074047,0.000652734948968913,0.000652734948968913
"38","Factor5","blast_bm_percentage",0.0179777896111128,0.00444291968474452,4.04639086158645,0.000120343326661384,0.000120343326661384
"39","Factor6","blast_bm_percentage",-0.00255653798941072,0.00150139093636201,-1.7027796874846,0.0925410018199477,0.0925410018199477
"40","Factor7","blast_bm_percentage",0.0126336596772319,0.00369534966398884,3.41879952534582,0.000997399801687536,0.000997399801687536
"41","Factor8","blast_bm_percentage",0.00240053037324611,0.00361223534955638,0.664555362800743,0.508270136129616,0.508270136129616
"42","Factor9","blast_bm_percentage",-0.00368243309121278,0.00445766878786162,-0.826089435186429,0.411241273208441,0.411241273208441
"43","Factor10","blast_bm_percentage",0.00600996781047129,0.00395669792112288,1.51893521574821,0.132770916769914,0.132770916769914
"44","Factor11","blast_bm_percentage",0.00718876040212808,0.00385693994479148,1.86385074826897,0.066057975476181,0.066057975476181
"45","Factor1","blast_blood_abs",0.0122510237992174,0.0041748149090947,2.93450705384062,0.00440077146506633,0.00440077146506633
"46","Factor2","blast_blood_abs",-0.00537768394139559,0.00446324231282169,-1.204882810406,0.231938702875208,0.231938702875208
"47","Factor3","blast_blood_abs",0.00120127302492791,0.00428632839695191,0.280256880406586,0.780031997875523,0.780031997875523
"48","Factor4","blast_blood_abs",0.0107571573380825,0.0028026539137867,3.83820395560305,0.000252438297547572,0.000252438297547572
