"","Clinical_parameter","Factor","Estimate","StdError","tStat","pvalue","padjust"
"4","Factor4","sample_material",0.68266957692995,0.180308835537492,3.78611272650587,0.000256314295739484,0.000256314295739484
"5","Factor5","sample_material",-0.475788053726077,0.216051785637728,-2.20219449851653,0.0298599461483477,0.0298599461483477
"6","Factor6","sample_material",-0.14685975807434,0.0631159017609446,-2.32682658374399,0.0219127803028528,0.0219127803028528
"25","Factor3","age",-0.0201775276749588,0.00700294716618597,-2.88129086170846,0.00471943127229449,0.00471943127229449
"30","Factor8","age",-0.0105822116617463,0.00447537486604527,-2.36454196095029,0.0197133386411786,0.0197133386411786
"31","Factor9","age",0.0138625914085819,0.00572462380317144,2.42157247099836,0.0170026048084565,0.0170026048084565
"35","Factor2","blast_bm_percentage",-0.0173247507001983,0.00563623486724288,-3.07381631679114,0.0029006585295315,0.0029006585295315
"37","Factor4","blast_bm_percentage",0.0138247022817401,0.00389441954728264,3.54987492074047,0.000652734948968913,0.000652734948968913
"38","Factor5","blast_bm_percentage",0.0179777896111128,0.00444291968474452,4.04639086158645,0.000120343326661384,0.000120343326661384
"40","Factor7","blast_bm_percentage",0.0126336596772319,0.00369534966398884,3.41879952534582,0.000997399801687536,0.000997399801687536
"45","Factor1","blast_blood_abs",0.0122510237992174,0.0041748149090947,2.93450705384062,0.00440077146506633,0.00440077146506633
"48","Factor4","blast_blood_abs",0.0107571573380825,0.0028026539137867,3.83820395560305,0.000252438297547572,0.000252438297547572
"49","Factor5","blast_blood_abs",0.014705290721871,0.00329816294708327,4.45863074620847,2.76680315062013e-05,2.76680315062013e-05
"51","Factor7","blast_blood_abs",0.00862586272000755,0.0026189529965446,3.29363021458895,0.00149575306529826,0.00149575306529826
"57","Factor2","Hb",0.0145249289109094,0.00721645115715561,2.01275233415901,0.0475049629525655,0.0475049629525655
"68","Factor2","Platelets",0.00607614514808791,0.00154164812222754,3.9413307488796,0.000173955871053438,0.000173955871053438
"74","Factor8","Platelets",-0.00233378465343795,0.00100221322523646,-2.32863086883265,0.0224364395911669,0.0224364395911669
"76","Factor10","Platelets",0.00264817166869249,0.00115809864748508,2.28665465972457,0.0248938668743069,0.0248938668743069
"78","Factor1","WBC",0.00911234655459962,0.00277738023304744,3.28091431132612,0.00153428436900628,0.00153428436900628
"81","Factor4","WBC",0.00738182551340441,0.00196467011663728,3.75728497669579,0.000324877237595744,0.000324877237595744
"82","Factor5","WBC",0.00980568186797516,0.00223122206717164,4.39475837580126,3.37345838852337e-05,3.37345838852337e-05
"95","Factor7","Neutrophils",-0.0362063792152795,0.013290173056772,-2.72429704719537,0.0079706966709319,0.0079706966709319
"96","Factor8","Neutrophils",-0.0273327722755285,0.0126697836535473,-2.15731957410938,0.034099713421484,0.034099713421484
"110","Factor11","LDH",-0.00688917366040327,0.00314271080615259,-2.19211186944599,0.0316515211827431,0.0316515211827431
"117","Factor7","chemo_radio",-0.979130362277926,0.372736061541178,-2.62687317730795,0.0221028407906167,0.0221028407906167
"119","Factor9","chemo_radio",-0.83938448181611,0.38126871628924,-2.20155613601231,0.048002589216941,0.048002589216941
"120","Factor10","chemo_radio",1.47004808322593,0.357070776235656,4.11696554594471,0.00142837686827215,0.00142837686827215
"122","Factor1","aml_etiology",-0.846706868212813,0.387610391044307,-2.18442768247673,0.0309601919253348,0.0309601919253348
"126","Factor5","aml_etiology",-1.0639984193418,0.287058505631687,-3.70655597541143,0.000324715973716797,0.000324715973716797
"129","Factor8","aml_etiology",-0.583212467602358,0.204740415303032,-2.84854588547726,0.00520465480446444,0.00520465480446444
"130","Factor9","aml_etiology",0.748882854628976,0.263117495934215,2.84619178200226,0.00524069551054804,0.00524069551054804
"134","Factor2","who_perfstatus",-0.619929510815138,0.270262465070003,-2.2938054333759,0.0236501943296047,0.0236501943296047
"144","Factor1","cytogenetically_normal",0.962368330284764,0.23790106700095,4.04524596050224,9.45315602823343e-05,9.45315602823343e-05
"150","Factor7","cytogenetically_normal",0.440307369195572,0.187965607480816,2.34248900688128,0.0208599792760181,0.0208599792760181
"152","Factor9","cytogenetically_normal",-0.364029740396137,0.171053275707319,-2.12816585295339,0.0354397496537057,0.0354397496537057
"162","Factor8","karyotype_class",-0.842862684423719,0.279984278792933,-3.01039289797793,0.0032130559713701,0.0032130559713701
"166","Factor1","cytogenetic_risk",1.2183427620278,0.409390714345691,2.97599021994188,0.00356664704999622,0.00356664704999622
"172","Factor7","cytogenetic_risk",0.67047855275771,0.313889351753505,2.13603471736827,0.034815729006964,0.034815729006964
"173","Factor8","cytogenetic_risk",-1.30031220798731,0.186058108746908,-6.98874247806156,1.98832254694952e-10,1.98832254694952e-10
"177","Factor1","genetic_risk",0.634851782228792,0.318127318114089,1.9955902749638,0.0483632237873794,0.0483632237873794
"179","Factor3","genetic_risk",-0.607186810864494,0.26611390808197,-2.28168010924654,0.0243645282041551,0.0243645282041551
"184","Factor8","genetic_risk",-0.876595944414166,0.14800611105174,-5.92270101676901,3.42165190089064e-08,3.42165190089064e-08
"188","Factor1","ELN2017",0.712566562500032,0.278733852438673,2.55644069159777,0.0118780124541832,0.0118780124541832
"195","Factor8","ELN2017",1.12161582455345,0.12755108791565,8.79346341048212,1.66424650676833e-14,1.66424650676833e-14
"196","Factor9","ELN2017",-0.708414629879131,0.195953848351567,-3.6152116217087,0.000446760101224297,0.000446760101224297
"206","Factor8","complete_remission",0.546657371342959,0.131316463738865,4.16290049075673,6.06381714006621e-05,6.06381714006621e-05
"207","Factor9","complete_remission",-0.437563005732114,0.175647192767991,-2.49114716174305,0.0141477114027683,0.0141477114027683
"217","Factor8","allo_sct",0.328110912509407,0.153351890313779,2.13959483536882,0.0344829877294703,0.0344829877294703
"219","Factor10","allo_sct",0.39427033493258,0.172183862540929,2.28982164248325,0.0238396315496414,0.0238396315496414
"228","Factor8","status",-0.594341216775444,0.139824605876783,-4.25061964629596,4.33160364552036e-05,4.33160364552036e-05
"239","Factor8","time_days",0.000198474167033443,5.21654833890242e-05,3.80470292115039,0.000228219823248385,0.000228219823248385
"250","Factor8","status_cens_allo",-0.537682919000186,0.130969202842261,-4.10541491687759,7.54074022833558e-05,7.54074022833558e-05
"260","Factor7","time_cens_allo_days",-0.000216430633942372,8.21750001888454e-05,-2.63377710307265,0.00959570580855232,0.00959570580855232
"261","Factor8","time_cens_allo_days",0.000156725775806724,5.80848327438691e-05,2.69822203840755,0.00801172705769247,0.00801172705769247
"269","Factor5","ELN_2022_AO",0.867646911210082,0.384437745109724,2.25692435835728,0.0296907275786725,0.0296907275786725
"272","Factor8","ELN_2022_AO",1.39311355443871,0.192396136528867,7.24086033936389,1.00308208059268e-08,1.00308208059268e-08
"275","Factor11","ELN_2022_AO",0.606507611406701,0.296480681931377,2.0456901524096,0.0475733757480308,0.0475733757480308
